,Date,SVXY,TVIX,UVXY,VIIX,VIXM,VIXY,XVZ,ZIV
0,2005-03-01,,,,,,,,
1,2005-04-01,,,,,,,,
2,2005-05-01,,,,,,,,
3,2005-06-01,,,,,,,,
4,2005-07-01,,,,,,,,
5,2005-08-01,,,,,,,,
6,2005-09-01,,,,,,,,
7,2005-10-01,,,,,,,,
8,2005-11-01,,,,,,,,
9,2005-12-01,,,,,,,,
10,2006-01-01,,,,,,,,
11,2006-02-01,,,,,,,,
12,2006-03-01,,,,,,,,
13,2006-04-01,,,,,,,,
14,2006-05-01,,,,,,,,
15,2006-06-01,,,,,,,,
16,2006-07-01,,,,,,,,
17,2006-08-01,,,,,,,,
18,2006-09-01,,,,,,,,
19,2006-10-01,,,,,,,,
20,2006-11-01,,,,,,,,
21,2006-12-01,,,,,,,,
22,2007-01-01,,,,,,,,
23,2007-02-01,,,,,,,,
24,2007-03-01,,,,,,,,
25,2007-04-01,,,,,,,,
26,2007-05-01,,,,,,,,
27,2007-06-01,,,,,,,,
28,2007-07-01,,,,,,,,
29,2007-08-01,,,,,,,,
30,2007-09-01,,,,,,,,
31,2007-10-01,,,,,,,,
32,2007-11-01,,,,,,,,
33,2007-12-01,,,,,,,,
34,2008-01-01,,,,,,,,
35,2008-02-01,,,,,,,,
36,2008-03-01,,,,,,,,
37,2008-04-01,,,,,,,,
38,2008-05-01,,,,,,,,
39,2008-06-01,,,,,,,,
40,2008-07-01,,,,,,,,
41,2008-08-01,,,,,,,,
42,2008-09-01,,,,,,,,
43,2008-10-01,,,,,,,,
44,2008-11-01,,,,,,,,
45,2008-12-01,,,,,,,,
46,2009-01-01,,,,,,,,
47,2009-02-01,,,,,,,,
48,2009-03-01,,,,,,,,
49,2009-04-01,,,,,,,,
50,2009-05-01,,,,,,,,
51,2009-06-01,,,,,,,,
52,2009-07-01,,,,,,,,
53,2009-08-01,,,,,,,,
54,2009-09-01,,,,,,,,
55,2009-10-01,,,,,,,,
56,2009-11-01,,,,,,,,
57,2009-12-01,,,,,,,,
58,2010-01-01,,,,,,,,
59,2010-02-01,,,,,,,,
60,2010-03-01,,,,,,,,
61,2010-04-01,,,,,,,,
62,2010-05-01,,,,,,,,
63,2010-06-01,,,,,,,,
64,2010-07-01,,,,,,,,
65,2010-08-01,,,,,,,,
66,2010-09-01,,,,,,,,
67,2010-10-01,,,,,,,,
68,2010-11-01,,280875008.0,,5322.5,,,,12.29875
69,2010-12-01,,161800000.0,,4127.0,,,,13.72375
70,2011-01-01,,114100000.0,,3459.0,285.200012,6935.0,,15.1925
71,2011-02-01,,99325000.0,,3416.5,273.72000099999997,6554.0,,15.25625
72,2011-03-01,,90725000.0,,3174.0,269.519989,6375.0,,15.4025
73,2011-04-01,,55900000.0,,2508.5,252.039993,5039.0,,16.8675
74,2011-05-01,,46600000.0,,2305.0,244.16000400000001,4619.0,,17.331249
75,2011-06-01,,44300000.0,,2282.0,247.11999500000002,4568.0,,17.049999
76,2011-07-01,,52900000.0,,2535.0,239.0,5051.0,,17.290001
77,2011-08-01,,124500000.0,,4238.5,308.200012,8371.0,58.299999,12.85
78,2011-09-01,,223575008.0,,5779.0,357.839996,11452.0,63.07,10.94
79,2011-10-01,26.219998999999998,113500000.0,103980000.0,4328.5,297.119995,8559.0,55.279999,12.82
80,2011-11-01,22.809998999999998,113825000.0,104160000.0,4519.5,321.399994,8921.0,57.330002,11.49
81,2011-12-01,26.139999,79875000.0,72960000.0,3834.0,296.519989,7574.0,56.549999,12.46
82,2012-01-01,34.060001,44900000.0,40980000.0,2896.5,267.72000099999997,5720.0,57.0,13.69
83,2012-02-01,35.73,41800000.0,32940000.0,2662.0,268.27999900000003,5246.0,58.529999,13.5
84,2012-03-01,49.064999,18075000.0,14560000.0,1824.0,226.960007,3577.0,57.869999,15.84
85,2012-04-01,47.685001,16700000.0,13440000.0,1787.5,222.80000299999998,3521.0,56.25,15.95
86,2012-05-01,35.599998,22775000.0,20020000.0,2253.5,247.16000400000001,4444.0,57.23,14.32
87,2012-06-01,44.915001000000004,12275000.0,9840000.0,1641.5,220.32000699999998,3232.0,56.93,15.54
88,2012-07-01,47.630001,9000000.0,7560000.0,1472.0,207.240005,2902.0,55.41,16.639999
89,2012-08-01,55.264998999999996,6525000.0,5300000.0,1246.5,200.96000700000002,2454.0,55.990002000000004,16.889999
90,2012-09-01,67.370003,3800000.0,3092000.0,972.0,166.639999,1922.0,52.759997999999996,20.200001
91,2012-10-01,63.549999,3800000.0,3207000.0,1001.0,154.96000700000002,1975.0,49.720001,21.6
92,2012-11-01,75.769997,2175000.0,1957000.0,801.0,139.96000700000002,1580.0,48.029999,23.530001000000002
93,2012-12-01,65.449997,2335000.0,2090000.0,860.5,136.880005,1701.0,46.040001000000004,23.77
94,2013-01-01,82.559998,1335000.0,1185000.0,657.5,112.199997,1307.0,41.860001000000004,28.790001
95,2013-02-01,79.120003,1225000.0,1093000.0,646.5,109.639999,1288.0,40.779999,29.200001
96,2013-03-01,91.08000200000001,877500.0,769000.0,547.0,105.720001,1090.0,41.049999,30.15
97,2013-04-01,89.980003,700000.0,630000.0,512.0,98.199997,1022.0,38.869999,32.049999
98,2013-05-01,88.099998,697500.0,634000.0,518.5,103.599998,1033.0,40.150002,30.280001000000002
99,2013-06-01,78.449997,780000.0,716900.0,559.0,113.0,1118.199951,42.75,27.450001
100,2013-07-01,106.199997,430000.0,374000.0,407.5,94.800003,811.200012,40.299999,32.599998
101,2013-08-01,92.150002,516750.0,469500.0,460.14999400000005,100.360001,917.0,40.360001000000004,30.58
102,2013-09-01,105.139999,380250.0,343400.0,397.399994,92.08000200000001,789.0,38.810001,32.990002000000004
103,2013-10-01,113.989998,282250.0,251900.0,349.399994,88.519997,692.200012,35.959998999999996,34.09
104,2013-11-01,128.490005,217500.0,193200.0,307.149994,83.800003,608.599976,35.860001000000004,35.790001000000004
105,2013-12-01,134.940002,187500.0,167800.0,288.149994,77.160004,570.599976,33.73,38.700001
106,2014-01-01,112.519997,239750.0,218825.0,334.0,80.08000200000001,660.400024,34.099998,36.779999
107,2014-02-01,122.400002,184000.0,165250.0,295.700012,76.959999,584.200012,32.07,38.009997999999996
108,2014-03-01,123.940002,175250.0,149775.0,284.799988,74.0,562.0,31.309998999999998,39.389998999999996
109,2014-04-01,128.440002,152250.0,134750.0,271.899994,71.480003,536.200012,30.469998999999998,40.560001
110,2014-05-01,152.779999,105250.0,93375.0,227.0,68.519997,447.60000599999995,30.809998999999998,42.23
111,2014-06-01,176.53999299999998,74500.0,66550.0,193.149994,61.880001,380.600006,29.84,46.509997999999996
112,2014-07-01,155.639999,86750.0,79250.0,213.19999700000002,62.119999,421.200012,29.620001000000002,45.970001
113,2014-08-01,170.059998,68500.0,61525.0,190.050003,60.080002,374.799988,29.93,47.110001000000004
114,2014-09-01,149.880005,81250.0,74075.0,210.649994,63.880001,415.600006,30.790001,43.970001
115,2014-10-01,137.639999,70000.0,62750.0,204.699997,62.400002,403.600006,28.940001000000002,43.799999
116,2014-11-01,73.959999,57750.0,96.25,185.0,60.540001000000004,364.399994,29.41,45.139998999999996
117,2014-12-01,61.16,69000.0,125.75,213.5,63.889998999999996,419.799988,28.48,41.77
118,2015-01-01,97.699997,88500.0,153.850006,249.5,68.760002,491.0,28.5,37.84
119,2015-02-01,64.33000200000001,52000.0,44600.0,186.449997,60.889998999999996,367.600006,28.23,42.560001
120,2015-03-01,67.730003,42500.0,37625.0,172.699997,61.09,340.200012,28.83,42.080002
121,2015-04-01,156.360001,30500.0,27050.0,147.649994,58.130001,290.799988,29.209999,43.950001
122,2015-05-01,88.5,22250.0,20260.0,128.449997,54.599998,253.0,28.879998999999998,46.810001
123,2015-06-01,90.889999,24000.0,43.959998999999996,135.949997,54.310001,268.399994,28.799999,46.470001
124,2015-07-01,90.220001,14250.0,26.48,108.300003,50.560001,213.399994,26.65,49.419998
125,2015-08-01,57.139998999999996,36950.0,63.049999,181.399994,63.439999,357.799988,28.049999,41.810001
126,2015-09-01,50.650002,30450.0,27980.0,173.300003,63.439999,341.600006,29.440001000000002,37.52
127,2015-10-01,60.849998,15575.0,28.209999,127.300003,53.860001000000004,12.33,27.200001,43.25
128,2015-11-01,116.839996,14900.0,13435.0,127.0,53.860001000000004,249.80000299999998,27.030001000000002,42.549999
129,2015-12-01,100.900002,15650.0,14175.0,135.649994,53.990002000000004,266.600006,25.790001,41.310001
130,2016-01-01,78.239998,21125.0,19235.0,162.800003,58.790001000000004,319.799988,26.879998999999998,37.169998
131,2016-02-01,73.760002,21925.0,19870.0,168.050003,61.82,329.200012,27.110001,35.139998999999996
132,2016-03-01,101.059998,10975.0,9665.0,119.099998,52.869999,233.600006,26.41,40.669998
133,2016-04-01,102.260002,9575.0,8510.0,113.650002,54.810001,222.0,27.25,38.73
134,2016-05-01,123.839996,6050.0,5425.0,91.800003,51.400002,179.600006,27.93,41.130001
135,2016-06-01,98.120003,5450.0,4715.0,93.150002,52.529999,183.199997,27.799999,38.720001
136,2016-07-01,131.440002,2775.0,2535.0,68.800003,47.720001,135.199997,28.5,42.380001
137,2016-08-01,146.020004,21.77,1985.0,61.299999,47.380001,120.400002,29.280001000000002,42.59
138,2016-09-01,146.419998,1815.0,1665.0,57.450001,45.689999,113.32,28.82,43.630001
139,2016-10-01,143.639999,1803.0,1659.0,11.55,44.860001000000004,113.68,28.23,44.459998999999996
140,2016-11-01,169.33999599999999,1151.0,1060.0,9.43,42.689999,92.959999,27.299999,46.259997999999996
141,2016-12-01,181.96000700000002,9.96,875.0,8.05,41.889998999999996,85.040001,27.690001000000002,47.080002
142,2017-01-01,235.69999700000002,544.0,498.39999400000005,32.849998,37.060001,64.720001,27.309998999999998,52.93
143,2017-02-01,245.0,485.0,446.0,31.15,35.529999,61.439999,27.43,54.919998
144,2017-03-01,282.299988,350.799988,323.399994,26.67,31.950001,52.68,26.940001000000002,61.0
145,2017-04-01,290.100006,309.100006,283.600006,25.370001000000002,30.02,50.040001000000004,25.059998999999998,64.58000200000001
146,2017-05-01,306.700012,238.600006,219.80000299999998,22.799999,29.41,44.959998999999996,24.75,65.660004
147,2017-06-01,322.540009,211.19999700000002,194.800003,21.559998999999998,27.43,42.52,23.959999,70.260002
148,2017-07-01,363.799988,162.699997,148.899994,18.93,25.33,37.279999,23.59,75.93
149,2017-08-01,320.799988,159.699997,145.699997,19.559998999999998,26.290001,38.459998999999996,22.719998999999998,72.129997
150,2017-09-01,375.0,113.300003,103.0,16.540001,25.17,32.529999,23.27,75.040001
151,2017-10-01,429.39999400000005,83.699997,76.599998,14.34,23.120001000000002,28.16,22.940001000000002,81.599998
152,2017-11-01,103.589996,73.400002,67.25,13.48,23.41,26.530001000000002,23.549999,80.379997
153,2017-12-01,512.840027,55.400002,51.049999,11.78,21.15,23.15,22.940001000000002,88.650002
154,2018-01-01,472.44000199999994,63.0,57.75,12.64,21.41,24.799999,22.32,87.470001
155,2018-02-01,48.919998,86.599998,85.599998,18.74,24.799999,36.689999,19.610001,68.5
156,2018-03-01,46.959998999999996,94.199997,92.650002,20.0,26.450001,39.150002,20.280001000000002,63.91
157,2018-04-01,49.32,71.800003,75.400002,17.540001,24.709999,34.330002,19.15,68.230003
158,2018-05-01,51.720001,54.900002,62.549999,15.6,23.049999,30.559998999999998,18.809998999999998,72.83000200000001
159,2018-06-01,50.880001,52.77,61.700001,15.62,23.02,30.52,18.950001,72.41999799999999
160,2018-07-01,54.959998999999996,37.57,47.849998,13.26,21.700001,25.879998999999998,18.52,76.66999799999999
161,2018-08-01,56.68,31.459999,42.049999,12.27,21.299999,23.940001000000002,19.1,77.720001
162,2018-09-01,59.09,26.32,36.799999,11.31,20.68,21.940001000000002,19.07,80.230003
163,2018-10-01,48.59,48.959998999999996,60.23,15.88,24.9,30.950001,20.030001000000002,66.010002
164,2018-11-01,50.110001000000004,39.889998999999996,52.23,14.6,23.799999,28.370001000000002,19.92,67.989998
165,2018-12-01,42.299999,70.910004,81.730003,19.860001,26.74,38.610001000000004,21.27,60.41
166,2019-01-01,48.189999,39.860001000000004,52.889998999999996,14.98,23.469998999999998,29.15,18.799999,68.489998
167,2019-02-01,51.040001000000004,30.629998999999998,43.740002000000004,13.28,21.5,25.82,17.959999,74.870003
168,2019-03-01,50.029999,30.98,44.790001000000004,13.57,22.030001000000002,26.35,17.870001000000002,72.769997
